Jira,IssueId,EvoId,Summary,Description,VersionsAffected,IssueType,Project,Components,CreatedDate,ResolvedDate,Status,Priority,Creator,Reporter,Resolution,IssueLinks,Labels,VersionsFixed,Assignee,TimeSpent,Comments,SmellActual,SmellReason
Qt,275557,0,Toolbar missing if layout is reset,"Test steps:
 # Open existing project or create new one
 # Reset layout settings by clicking View -> Reset layout
 # After restart toolbar is not visible (see picture)
 # Cannot drag guides from top or from bottom (dragging from sides works)
 # Drag editor window a bit by clicking it at the up most panel
 # Toolbar is visible again and dragging guides works",Qt 3D Studio 2.3 BETA3,Bug,Qt 3D Studio,Editor Application,2019-03-18T07:45:15.000+0000,2019-03-18T08:37:56.000+0000,Reported,Not Evaluated,Tanja Remes,Tanja Remes,,,RTA,,Tomi Korpipää,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,34 characters is too short.
Qt,234192,0,Typo in documentation,"There is a typo on this page: https://doc.qt.io/qt-5/cmake-manual.html

""Per-direcotry"" should be spelled ""Per-directory"".",5.6.0,Task,Qt,Documentation,2016-05-19T17:14:05.000+0000,2016-05-20T08:50:11.000+0000,Reported,P4: Low,Schneider,Schneider,,,,,Qt Documentation Team,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,21 characters is too short.
RedHat,12819113,0,Update and test on Strimzi version 0.12.1 (AMQ Streams 1.2 ),,,Task,Drools,,2019-07-22T05:59:45.000+0000,2019-07-29T03:26:27.000+0000,Open,Major,Massimiliano Dessi,Massimiliano Dessi,,,HADrools,,Massimiliano Dessi,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",FALSE,60 characters is in range.
RedHat,13259062,0,Remove dryRunOpts import from console package,,,Sub-task,OpenShift Dev Console,UI,2021-02-09T08:31:36.000+0000,2021-02-12T07:30:56.000+0000,To Do,Unprioritized,Rohit Rai,Rohit Rai,,,,,Rohit Rai,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",FALSE,45 characters is in range.
RedHat,12826083,0,Allow the main testsuite/integration/clustering surefire execution to run for 75 mins,We are regularly seeing CI failures because the clustering testsuite has a surefire execution that runs over an hour. So bump the surefire.forked.process.timeout setting to 4500 from the current 3600.,,Task,WildFly,Test Suite,2019-09-03T15:56:39.000+0000,2019-09-03T16:31:52.000+0000,Open,Major,Brian Stansberry,Brian Stansberry,,,,,Brian Stansberry,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,85 characters is too long.
RedHat,13202675,0,"As a user of Quay Operator, I want to be able to scale Mirroring beyond a single Pod.",Currently TNG Operator deploys a separate mirroring Pod when managed component mirroring is enabled.  Operator should allow for more than one mirroring Pod (e.g. via HPA) in a way that does not require user to manually adjust the Mirror Pod deployment.,,Feature Request,Project Quay,,2020-11-23T08:39:11.000+0000,2021-05-19T17:08:21.000+0000,Open,Minor,Bill Dettelback,Bill Dettelback,,,triaged,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,85 characters is too long.
RedHat,12498010,0,Oracle Reauthentication plugin,Implement an Oracle Reauthentication plugin using Proxy Authentication.,1.1.0.CR2,Feature Request,IronJacamar,JDBC,2013-08-06T02:04:15.000+0000,2013-08-06T02:45:45.000+0000,Open,Minor,Ricardo Arguello,Ricardo Arguello,,,,,Jesper Pedersen,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,30 characters is too short.
RedHat,12551075,0,Sansa doesn't have Ant installed,Jenkins node Sansa does not have Ant installed.,,Bug,JBoss Transaction Manager,Testing,2014-09-04T06:01:25.000+0000,2014-09-04T09:51:28.000+0000,Open,Blocker,Gytis Trikleris,Gytis Trikleris,,,,5.0.4,Thomas Jenkinson,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,32 characters is too short.
Spring,19115,0,"allow ""refreshable"" list of items",,,Sub-task,Spring Rich Client Project,,2008-01-11 00:00:03,2008-01-15 22:05:50,Open,Major,Peter De Bruycker,Peter De Bruycker,,,,,Peter De Bruycker,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,33 characters is too short.
Spring,55905,0,Release 1.5.1,,,Task,Spring Data JPA,Infrastructure,2014-02-25 07:29:21,2014-03-13 10:18:28,Open,Minor,Thomas Darimont,Thomas Darimont,,,,1.5.1 (Codd SR1),Oliver Gierke,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,13 characters is too short.
Spring,10984,0,o.s.web.util.Log4jConfigListener - able to load log4j config file from file system,"My use case requries me to have my log4j.properties located on a AS/400 server and Tomcat running on a Win2003 box. 

Tomcat must be able to use the log4j.properties located on the AS/400 file system.

I am using Spring to setup log4j in web.xml such as:

	<listener>
		<listener-class>org.springframework.web.util.Log4jConfigListener</listener-class>
	</listener>

	<context-param>
		<param-name>log4jRefreshInterval</param-name>
		<param-value>60000</param-value> <!-- 1 min -->
	</context-param>

	<context-param>
		<param-name>log4jConfigLocation</param-name>
		<param-value>/WEB-INF/log4j.properties</param-value>
	</context-param>

In Spring 1.1.3 it is not possible to specify the location of log4j.properties outside the web application archive. Okay yes it is possible if you do not have the defined log4jConfigLocation in the web.xml file then it would default to locate the log4j.properties in the classpath.

I do not want to alter the CLASSPATH of TOMCAT or whatever web container we are using. I want to be able to specify the location of the log4j.properties file in the web.xml file. So I modified the Log4jWebConfigurer to be able to do this. Now I can set the location of the log4j.properties in web.xml such as:

	<context-param>
		<param-name>log4jConfigLocation</param-name>
		<param-value>file:/C:/mylog4j.properties</param-value>
	</context-param>


And it would get the file from the file system. I am using Springs own code to locate the file (PathMatchingResourcePatternResolver).

I failed to make SF CVS work so I downloaded the nightly snapshot and modified the java file.

I have attached my modified java file to this JIRA.


/Claus",1.1.3,Improvement,Spring Framework,Web,2005-01-13 20:16:32,2005-01-28 03:00:16,Open,Minor,Claus Ibsen,Claus Ibsen,,,,,Juergen Hoeller,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,82 characters is too long.
Spring,74059,0,Invalid grails install causes cryptic error messages when executing commands,"If a user deleted or moved  Grails install configure in the workspace without also changing the workspace configuration to point to the new location, then the install is 'invalid'. But we don't check for this and get a cryptic error message when executing commands instead.

Before executing a command we should check whether the Grails install we are about to use actually exists in the location the configuration is pointing to. If not, we whould provide a nicer error message.

{noformat}
eclipse.buildId=2.6.0.201101261000-M1
java.version=1.6.0_22
java.vendor=Sun Microsystems Inc.
BootLoader constants: OS=linux, ARCH=x86, WS=gtk, NL=en_CA
Framework arguments:  -product com.springsource.sts.ide
Command-line arguments:  -os linux -ws gtk -arch x86 -product com.springsource.sts.ide


Error
Wed Jan 26 11:13:38 PST 2011
Command failed, see details for output.

java.lang.Exception: Command failed with the following output:
---- System.out ----

---- System.err ----
Exception in thread ""main"" java.lang.NoClassDefFoundError: org/codehaus/groovy/grails/cli/support/GrailsStarter
Caused by: java.lang.ClassNotFoundException: org.codehaus.groovy.grails.cli.support.GrailsStarter
at java.net.URLClassLoader$1.run(URLClassLoader.java:202)
at java.security.AccessController.doPrivileged(Native Method)
at java.net.URLClassLoader.findClass(URLClassLoader.java:190)
at java.lang.ClassLoader.loadClass(ClassLoader.java:307)
at sun.misc.Launcher$AppClassLoader.loadClass(Launcher.java:301)
at java.lang.ClassLoader.loadClass(ClassLoader.java:248)
Could not find the main class: org.codehaus.groovy.grails.cli.support.GrailsStarter.  Program will exit.

at com.springsource.sts.grails.core.launch.SynchLaunch$LaunchResult.getException(SynchLaunch.java:133)
at com.springsource.sts.grails.core.launch.SynchLaunch$ResultFromTerminatedLaunch.getStatus(SynchLaunch.java:247)
at com.springsource.sts.grails.core.launch.SynchLaunch$LaunchResult.getCoreException(SynchLaunch.java:151)
at com.springsource.sts.grails.core.launch.SynchLaunch.synchExec(SynchLaunch.java:52)
at com.springsource.sts.grails.commands.GrailsExecutor.synchExec(GrailsExecutor.java:107)
at com.springsource.sts.grails.commands.GrailsCommand.synchExec(GrailsCommand.java:129)
at com.springsource.sts.grails.ui.internal.wizard.ANewGrailsProjectWizard$1.run(ANewGrailsProjectWizard.java:140)
at org.eclipse.core.internal.jobs.Worker.run(Worker.java:54)

{noformat}",2.6.0.M1,Bug,Spring Tool Suite,GRAILS,2011-01-26 11:23:09,2011-09-26 13:31:16,Open,Minor,Kris De Volder,Kris De Volder,,,,,Kris De Volder,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,76 characters is too long.
Spring,12700,0,Maven 2 poms don't identify optional dependencies,"The Spring poms for Maven 2 list all dependencies as required, and this causes a large number of unnecessary transitive dependencies in projects which make use of Spring.

This is especially true for spring-orm, but also applies to spring-hibernate and probably other modules.",,Bug,Spring Modules,,2005-11-09 13:57:57,2006-06-19 09:23:11,Open,Major,Robert Egglestone,Robert Egglestone,,,,,Steven Devijver,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",FALSE,49 characters is in range.
Spring,33370,0,Remove spring-tx dependency from MessagingTemplate,"We have several ways of starting the MessageFlow

1. gateway
2. channel.send(message)
3. message-publisher
4. inbound-adapter
5. scheduler
6. poller

1, 2 and 3 involves 3rd party to initiate the flow. Such 3rd party can begin transaction before exercising any of the scenarios. So TX configuration could be easily done in Spring the conventional way (annotation Gateway interface with @Transactional) and the Thread would propagate the TX context until thread boundary breaks. The main thing is that all 3 of them expect TX to exist before they are initiated. 

4, 5 and 6 does not involve human to initiate the flow, so it make sense to expose TX configuration (e.g., the same way we do it in poller now).

_MessagingTemplate_ is really a helper class used by all of the above scenarios and based on the scenario transactional context might or might not exist. But in any event _MessagingTemplate_ should not directly depend on spring-tx API.
",2.0 M7,Sub-task,Spring Integration,Core,2010-09-15 18:28:24,2010-09-15 18:40:44,Open,Minor,Oleg Zhurakousky,Oleg Zhurakousky,,,,2.0 RC1,Oleg Zhurakousky,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",FALSE,50 characters is in range.
Mojang,163166,0,When i try to open minecraft the game crashes,"The game crashes when i try to open it.

I was expecting to open the game
It never happend to me before the new launcher

*Steps to Reproduce:*
1. Try to open the game
",2.0.806 (Windows),Bug,Minecraft Launcher,,2017-02-12 15:04:57,2018-04-27 15:57:00,Open,,Vinicius Paulo Novelli,Vinicius Paulo Novelli,,,crash,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",FALSE,45 characters is in range.
Mojang,329029,0,Sweet berry bushes dont damage the player,"There is not much to say for this bug. I was just playing a normal survival world and fell in a sweet berry Bush and walked out of it without taking damage. Might have been caused by the latest hotfix.

This occurred on my xbox one, bedrock, version 1.14.60",1.14.60,Bug,Bedrock Dedicated Server,,2020-05-28 00:36:48,2020-05-28 09:45:50,Open,,Benjamin Case,Benjamin Case,,,,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",FALSE,41 characters is in range.
Mojang,370049,0,Cant join friends world,"Hi mojang , firstly the game is superb but I have a issue I cant join my friends world and play together nor he can join my world its constantly showing UNABLE TO CONNECT TO THE WORLD we tried several times for atleast a month now please fix this we have tried every possible way but its not working . We are playing on wifi and our xbox settings is multiplayer . Sometimes we get into a game but it is very rare . Please fix this pr just make it like java where multiplayer his in the title screen and we just need the ip adress . Thank you ",1.16.20,Bug,Bedrock Dedicated Server,,2020-09-04 10:51:24,2020-09-04 11:32:33,Open,,Rudra Phadnis,Rudra Phadnis,,,,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,23 characters is too short.
Mojang,182869,0,The leaves on trees turned black,The leaves on the trees somehow turned black for some unknown reason ,1.2.2.3,Bug,Minecraft (Bedrock codebase),,2017-10-07 01:25:54,2017-10-10 11:27:31,Open,,Jake Bron,Jake Bron,,,,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,32 characters is too short.
Mojang,233711,0,The game will crash after significant changes when attempting to save and quit in the Nintendo Switch version of the game.,"The game will crash after significant changes when attempting to save and quit in the Nintendo Switch version of the game. I've been on the _Save and Quit_ screen for at least 15 minutes, unable to do anything in-game.",1.10.0,Bug,Minecraft (Bedrock codebase),,2019-04-03 03:46:39,2019-05-08 10:42:58,Open,,Evan Reardon,Evan Reardon,,,switch-crash,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,122 characters is too long.
Mojang,246179,0,Cats tamed from villages keep going back to the village/scoot around while sitting,"[^Minecraft_2019-06-15-21-42-23_1.mp4]

Hopefully that link works, I'm doing all of this on my phone. Ever since 1.14 came out, I redownloaded minecraft on my Android S8 and have been playing it nonstop. Whenever I tame cats from another village and bring them home with me, they never want to stay. When I make them sit, they tend to scoot around literally everywhere until they can get out of my house and flee back to their village. If I go around the village, the cat will teleport to me, ignore me, and run back. My friend's that I play with on IOS have never had this problem on their worlds, and it is quite frustrating. I can never tame cats from villages, I can only spawn them in if I don't want to run into this problem. ",1.11.4,Bug,Minecraft (Bedrock codebase),,2019-06-16 05:03:36,2020-07-01 12:32:16,Open,,Sydney,Sydney,,,,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,82 characters is too long.
SecondLife,85540,0,crash in LLPanelGroupInvite after inviting someone to a group,"I invited someone to a group and the viewer crashed.
https://osiris.lindenlab.com/viewer_crash_browser/index.php?filter_id=26199

[0] LLPanelGroupInvite::impl::onAvatarNameCache(LLUUID const &,LLAvatarName const &,void *) [secondlife-bin llpanelgroupinvite.cpp]
[1] boost::detail::function::void_function_obj_invoker2<1="""">,boost::arg<2>,boost::_bi::value > >,void,LLUUID const &,LLAvatarName const &>::invoke(boost::detail::function::function_buffer &,LLUUID const &,LLAvatarName const &) [secondlife-bin function_template.hpp]
[2] boost::signals2::detail::signal2_impl,int,std::less,boost::function,boost::function,boost::signals2::mutex>::slot_invoker::operator()(boost::shared_ptr >,boost::signals2::slot2 >,boost::signals2::mutex> > const &) [secondlife-bin signal_template.hpp]
[3] boost::signals2::detail::slot_call_iterator_t,int,std::less,boost::function,boost::function,boost::signals2::mutex>::slot_invoker,std::_List_iterator >,boost::signals2::slot2 >,boost::signals2::mutex> >,std::allocator >,boost::signals2::slot2 >,boost::signals2::mutex> > > > >,boost::signals2::detail::connection_body >,boost::signals2::slot2 >,boost::signals2::mutex> >::dereference() [secondlife-bin slot_call_iterator.hpp]
[4] boost::signals2::optional_last_value::operator(),int,std::less,boost::function,boost::function,boost::signals2::mutex>::slot_invoker,std::_List_iterator >,boost::signals2::slot2 >,boost::signals2::mutex> >,std::allocator >,boost::signals2::slot2 >,boost::signals2::mutex> > > > >,boost::signals2::detail::connection_body >,boost::signals2::slot2 >,boost::signals2::mutex> > >(boost::signals2::detail::slot_call_iterator_t,int,std::less,boost::function,boost::function,boost::signals2::mutex>::slot_invoker,std::_List_iterator >,boost::signals2::slot2 >,boost::signals2::mutex> >,std::allocator >,boost::signals2::slot2 >,boost::signals2::mutex> > > > >,boost::signals2::detail::connection_body >,boost::signals2::slot2 >,boost::signals2::mutex> >,boost::signals2::detail::slot_call_iterator_t,int,std::less,boost::function,boost::function,boost::signals2::mutex>::slot_invoker,std::_List_iterator >,boost::signals2::slot2 >,boost::signals2::mutex> >,std::allocator >,boost::signals2::slot2 >,boost::signals2::mutex> > > > >,boost::signals2::detail::connection_body >,boost::signals2::slot2 >,boost::signals2::mutex> >) [secondlife-bin optional_last_value.hpp]
[5] boost::signals2::detail::signal2_impl,int,std::less,boost::function,boost::function,boost::signals2::mutex>::operator()(LLUUID const &,LLAvatarName const &) [secondlife-bin signal_template.hpp]
[6] LLAvatarNameCache::processName(LLUUID const &,LLAvatarName const &,bool) [secondlife-bin llavatarnamecache.cpp]
[7] LLAvatarNameResponder::result(LLSD const &) [secondlife-bin llavatarnamecache.cpp]
[8] LLCurl::Responder::completed(unsigned int,std::basic_string,std::allocator > const &,LLSD const &) [secondlife-bin llcurl.cpp]
[9] LLCurl::Responder::completedRaw(unsigned int,std::basic_string,std::allocator > const &,LLChannelDescriptors const &,boost::shared_ptr const &) [secondlife-bin llcurl.cpp]
[10] `anonymous namespace'::LLHTTPClientURLAdaptor::complete(LLChannelDescriptors const &,boost::shared_ptr const &) [secondlife-bin llhttpclient.cpp]
[11] LLURLRequestComplete::process_impl(LLChannelDescriptors const &,boost::shared_ptr &,bool &,LLSD &,LLPumpIO *) [secondlife-bin llurlrequest.cpp]
[12] LLPumpIO::processChain(LLPumpIO::LLChainInfo &) [secondlife-bin llpumpio.cpp]
[13] LLPumpIO::callback() [secondlife-bin llpumpio.cpp]
[14] LLAppViewer::mainLoop() [secondlife-bin llappviewer.cpp]
[15] WinMain [secondlife-bin llappviewerwin32.cpp]
[16] __tmainCRTStartup [secondlife-bin crtexe.c]",,Bug,1. Second Life Viewer - VWR,Crashes,2011-06-30 17:01:10,2011-10-21 09:07:17,Awaiting Review,Unset,Dan Linden,Dan Linden,,,crashhunters,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",FALSE,61 characters is in range.
SecondLife,137587,0,Right click menu is not enabled in Script Editor on STORM-1831 test viewer,Right click menu is disabled on script editors in STORM-1831 test viewer. It's my fault. I'll link to a repo with the fix.,,Story,Snowstorm,,2014-04-29 17:34:57,2014-10-14 10:26:00,Open,Unset,Cinder Roxley,Cinder Roxley,,,,,Oz Linden,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,74 characters is too long.
SecondLife,74419,0,Crash in LLKeyframeDataCache::clear,"Viewer crashed on exit with the following backtrace:
{noformat}
#0  malloc_consolidate (av=<value optimized out>) at malloc.c:5089
#1  0xb663376f in _int_free (av=<value optimized out>, p=0xb99a9b8) at malloc.c:4968
#2  0xb66368ad in *__GI___libc_free (mem=0xb99a9c0) at malloc.c:3716
#3  0xb5626ac0 in ?? () from /usr/lib/tls/libnvidia-tls.so.1
#4  0x091ff06a in DeletePointer::operator()<LLKeyframeMotion::JointMotion> (this=0xbf9210ec, ptr=0xb99a9c0) at viewer-development/indra/llcommon/llstl.h:85
#5  0x091ff090 in std::for_each<__gnu_cxx::__normal_iterator<LLKeyframeMotion::JointMotion**, std::vector<LLKeyframeMotion::JointMotion*, std::allocator<LLKeyframeMotion::JointMotion*> > >, DeletePointer> (__first=..., __last=..., __f=...) at /usr/include/c++/4.1.3/bits/stl_algo.h:159
#6  0x091ec5fa in ~JointMotionList (this=0xb1a9c00, __in_chrg=<value optimized out>) at viewer-development/indra/llcharacter/llkeyframemotion.cpp:84
#7  0x091ff12e in DeletePairedPointer::operator()<std::pair<LLUUID const, LLKeyframeMotion::JointMotionList*> > (this=0xbf92115c, ptr=...)
    at viewer-development/indra/llcommon/llstl.h:105
#8  0x091ff168 in std::for_each<std::_Rb_tree_iterator<std::pair<LLUUID const, LLKeyframeMotion::JointMotionList*> >, DeletePairedPointer> (__first=..., __last=..., __f=...)
    at /usr/include/c++/4.1.3/bits/stl_algo.h:159
#9  0x091ec6f4 in LLKeyframeDataCache::clear () at viewer-development/indra/llcharacter/llkeyframemotion.cpp:2218
#10 0x08135551 in LLAppViewer::cleanup (this=0xa4d8f28) at viewer-development/indra/newview/llappviewer.cpp:1430
#11 0x09176c17 in main (argc=6, argv=0xbf921574) at viewer-development/indra/newview/llappviewerlinux.cpp:109
{noformat}",,Defect,Snowstorm,,2010-12-27 10:24:03,2011-06-13 13:59:02,Open,Minor,Vadim ProductEngine,Vadim ProductEngine,,,,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,35 characters is too short.
SecondLife,99644,0,Snowstorm Team test build 2012-05-01,Please test linked issues,,QART,Snowstorm,,2012-05-01 16:56:08,2012-05-04 15:26:57,Open,Minor,Oz Linden,Oz Linden,,,,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,36 characters is too short.
SecondLife,80755,0,"As a developer, I want to be able to override the local platform for manipulating and testing the configuration","When merging the changes for OPEN-50, I found that I wanted to be able to use the --dry-run option to see what system commands would be executed for the configure and build sub-commands on each of the platforms.  At present, the platform used is always the real local platform, but I wanted to be able to override that so that I could see how a configuration change would affect the system commands used on a different platform.",,New Feature,Open Development,autobuild,2011-04-06 05:20:38,2011-04-11 10:30:23,Awaiting Review,Major,Oz Linden,Oz Linden,,,,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,111 characters is too long.
SecondLife,133160,0,Add ability to copy notification text to clipboard,,,Bug,1. BUG Project,,2014-01-31 16:15:22,2014-02-10 09:20:40,Awaiting Review,Unset,Jonathan Yap,Jonathan Yap,,,,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",FALSE,50 characters is in range.
JiraEcosystem,96736,0,Upgrade placeholder polyfill to use skate,,,Improvement,Atlassian User Interface,,2014-07-13 23:45:27,2014-08-13 20:46:56,Triage,Major,Joshua Nelson,Joshua Nelson,Fixed,,,,Joshua Nelson,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",FALSE,41 characters is in range.
